domain_id,value,display_name,description
apatindiffese_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
appeatse_adni,1,"1 - Mild (noticeable, but not a significant change).",
appeatse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
appeatse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
appeatse_nacc,1,"Mild (noticeable, but not a significant change)",
appeatse_nacc,2,"Moderate (significant, but not a dramatic change)",
appeatse_nacc,3,Severe (very marked or prominent; a dramatic change),
appeatse_nacc,8,"Not applicable, no delusions reported",
appeatse_nacc,9,Unknown,
appeatse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
appeatse_hmn,1,"Mild (noticeable, but not a significant change)",
appeatse_hmn,2,"Moderate (significant, but not a dramatic change)",
appeatse_hmn,3,Severe (very marked or prominent; a dramatic change),
appeatse_hmn,8,"Not applicable, no delusions reported",
appeatse_hmn,9,Unknown,
appeatse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
assembletax_adni,0,Normal (0),
assembletax_adni,1,"Never did, but could do now (0)",
assembletax_adni,2,"Never did, would have difficulty now (1)",
assembletax_adni,3,"Has difficulty, but does by self (1)",
assembletax_adni,4,Requires assistance (2),
assembletax_adni,5,Dependent (3),
assembletax_nacc,0,Normal,
assembletax_nacc,1,"Has difficulty, but does by self",
assembletax_nacc,2,Requires assistance,
assembletax_nacc,3,Dependent,
assembletax_nacc,8,"Not applicable (e.g., never did)",
assembletax_nacc,9,Unknown,
assembletax_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
assembletax_hmn,0,Normal (0),
assembletax_hmn,1,"Has difficulty, but does by self (1)",
assembletax_hmn,2,Requires assistance (2),
assembletax_hmn,3,Dependent (3),
assembletax_hmn,4,"Never did, but could do now (0)",
assembletax_hmn,5,"Never did, would have difficulty now (1)",
assembletax_hmn,8,"Not applicable (e.g., never did)",
assembletax_hmn,9,Unknown,
assembletax_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
atherwills_adni,1,None,
atherwills_adni,2,Mild,
atherwills_adni,3,Moderate,
atherwills_adni,4,Severe,
atherwills_adni,5,Not Assessed,
atherwills_adni,9,Missing/Unknown,
atherwills_nacc,0,None,
atherwills_nacc,1,Mild,
atherwills_nacc,2,Moderate,
atherwills_nacc,3,Severe,
atherwills_nacc,8,Not assessed,
atherwills_nacc,9,Missing/unknown,
atherwills_hmn,1,None,
atherwills_hmn,2,Mild,
atherwills_hmn,3,Moderate,
atherwills_hmn,4,Severe,
atherwills_hmn,5,Not Assessed,
atherwills_hmn,9,Missing/Unknown,
badhappen_adni,1,Yes,
badhappen_adni,0,No,
badhappen_nacc,0,No,
badhappen_nacc,1,Yes,
badhappen_nacc,9,Did not answer,
badhappen_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
badhappen_hmn,0,No,
badhappen_hmn,1,Yes,
badhappen_hmn,9,Did not answer,
badhappen_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
bankcsf_adni,1,Yes,
bankcsf_adni,2,No,
bankcsf_nacc,0,No,
bankcsf_nacc,1,Yes,
bankcsf_nacc,9,Missing/unknown,
bankcsf_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
bankcsf_hmn,0,No,
bankcsf_hmn,1,Yes,
bankcsf_hmn,9,Missing/unknown,
bankcsf_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
bankedfrozen_adni,1,Yes,
bankedfrozen_adni,2,No,
bankedfrozen_nacc,0,No,
bankedfrozen_nacc,1,Yes,
bankedfrozen_nacc,9,Missing/unknown,
bankedfrozen_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
bankedfrozen_hmn,0,No,
bankedfrozen_hmn,1,Yes,
bankedfrozen_hmn,9,Missing/unknown,
bankedfrozen_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
betteroff_adni,1,Yes,
betteroff_adni,0,No,
betteroff_nacc,0,No,
betteroff_nacc,1,Yes,
betteroff_nacc,9,Did not answer,
betteroff_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
betteroff_hmn,0,No,
betteroff_hmn,1,Yes,
betteroff_hmn,9,Did not answer,
betteroff_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
bored_adni,1,Yes,
bored_adni,0,No,
bored_nacc,0,No,
bored_nacc,1,Yes,
bored_nacc,9,Did not answer,
bored_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
bored_hmn,0,No,
bored_hmn,1,Yes,
bored_hmn,9,Did not answer,
bored_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
braakb_adni,1,Stage I,
braakb_adni,2,Stage II,
braakb_adni,3,Stage III,
braakb_adni,4,Stage IV,
braakb_adni,5,Stage V,
braakb_adni,6,Stage VI,
braakb_adni,7,Neurofibrillary degeneration not present,
braakb_adni,8,Not Assessed,
braakb_adni,9,Missing/Unknown,
braakb_nacc,0,"Stage 0, AD-type neurofibrillary degeneration not present (B0)",
braakb_nacc,1,Stage I (B1),
braakb_nacc,2,Stage II (B1),
braakb_nacc,3,Stage III (B2),
braakb_nacc,4,Stage IV (B2),
braakb_nacc,5,Stage V (B3),
braakb_nacc,6,Stage VI (B3),
braakb_nacc,7,The presence of a tauopathy (other than aging/AD) precludes Braak staging,
braakb_nacc,8,Not assessed,
braakb_nacc,9,Missing/unknown,
braakb_hmn,0,"Stage 0, AD-type neurofibrillary degeneration not present (B0)",
braakb_hmn,1,Stage I (B1),
braakb_hmn,2,Stage II (B1),
braakb_hmn,3,Stage III (B2),
braakb_hmn,4,Stage IV (B2),
braakb_hmn,5,Stage V (B3),
braakb_hmn,6,Stage VI (B3),
braakb_hmn,7,The presence of a tauopathy (other than aging/AD) precludes Braak staging,
braakb_hmn,8,Not assessed,
braakb_hmn,9,Missing/unknown,
braakb_hmn,10,Neurofibrillary degeneration not present,
ceradcri_adni,1,Definite Alzheimer's disease,
ceradcri_adni,2,Probable Alzheimer's disease,
ceradcri_adni,3,Possible Alzheimer's disease,
ceradcri_adni,4,Criteria not met,
ceradcri_adni,5,Not done,
ceradcri_adni,9,Missing/Unknown,
ceradcri_nacc,1,Definite Alzheimer's disease,
ceradcri_nacc,2,Probable Alzheimer's disease,
ceradcri_nacc,3,Possible Alzheimer's disease,
ceradcri_nacc,4,Criteria not met,
ceradcri_nacc,5,Not done,
ceradcri_nacc,9,Missing/Unknown,
ceradcri_hmn,1,Definite Alzheimer's disease,
ceradcri_hmn,2,Probable Alzheimer's disease,
ceradcri_hmn,3,Possible Alzheimer's disease,
ceradcri_hmn,4,Criteria not met,
ceradcri_hmn,5,Not done,
ceradcri_hmn,9,Missing/Unknown,
delusionsse_adni,1,"1 - Mild (noticeable, but not a significant change).",
delusionsse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
delusionsse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
delusionsse_nacc,1,"Mild (noticeable, but not a significant change)",
delusionsse_nacc,2,"Moderate (significant, but not a dramatic change)",
delusionsse_nacc,3,Severe (very marked or prominent; a dramatic change),
delusionsse_nacc,8,"Not applicable, no delusions reported",
delusionsse_nacc,9,Unknown,
delusionsse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
delusionsse_hmn,1,"Mild (noticeable, but not a significant change)",
delusionsse_hmn,2,"Moderate (significant, but not a dramatic change)",
delusionsse_hmn,3,Severe (very marked or prominent; a dramatic change),
delusionsse_hmn,8,"Not applicable, no delusions reported",
delusionsse_hmn,9,Unknown,
delusionsse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
depdysse_adni,1,"1 - Mild (noticeable, but not a significant change).",
depdysse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
depdysse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
depdysse_nacc,1,"Mild (noticeable, but not a significant change)",
depdysse_nacc,2,"Moderate (significant, but not a dramatic change)",
depdysse_nacc,3,Severe (very marked or prominent; a dramatic change),
depdysse_nacc,8,"Not applicable, no delusions reported",
depdysse_nacc,9,Unknown,
depdysse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
depdysse_hmn,1,"Mild (noticeable, but not a significant change)",
depdysse_hmn,2,"Moderate (significant, but not a dramatic change)",
depdysse_hmn,3,Severe (very marked or prominent; a dramatic change),
depdysse_hmn,8,"Not applicable, no delusions reported",
depdysse_hmn,9,Unknown,
depdysse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
disinse_adni,1,"1 - Mild (noticeable, but not a significant change).",
disinse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
disinse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
disinse_nacc,1,"Mild (noticeable, but not a significant change)",
disinse_nacc,2,"Moderate (significant, but not a dramatic change)",
disinse_nacc,3,Severe (very marked or prominent; a dramatic change),
disinse_nacc,8,"Not applicable, no delusions reported",
disinse_nacc,9,Unknown,
disinse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
disinse_hmn,1,"Mild (noticeable, but not a significant change)",
disinse_hmn,2,"Moderate (significant, but not a dramatic change)",
disinse_hmn,3,Severe (very marked or prominent; a dramatic change),
disinse_hmn,8,"Not applicable, no delusions reported",
disinse_hmn,9,Unknown,
disinse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
dlbpathology_adni,1,Low,
dlbpathology_adni,2,Intermediate,
dlbpathology_adni,3,High,
dlbpathology_adni,6,N/A (not applicable),
dlbpathology_adni,9,Missing/unknown,
dlbpathology_nacc,1,Low,
dlbpathology_nacc,2,Intermediate,
dlbpathology_nacc,3,High,
dlbpathology_nacc,6,N/A (not applicable),
dlbpathology_nacc,9,Missing/Unknown,
dlbpathology_hmn,1,Low,
dlbpathology_hmn,2,Intermediate,
dlbpathology_hmn,3,High,
dlbpathology_hmn,6,N/A (not applicable),
dlbpathology_hmn,9,Missing/Unknown,
dropactivities_adni,1,Yes,
dropactivities_adni,0,No,
dropactivities_nacc,0,No,
dropactivities_nacc,1,Yes,
dropactivities_nacc,9,Did not answer,
dropactivities_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
dropactivities_hmn,0,No,
dropactivities_hmn,1,Yes,
dropactivities_hmn,9,Did not answer,
dropactivities_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
elateuphse_adni,1,"1 - Mild (noticeable, but not a significant change).",
elateuphse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
elateuphse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
elateuphse_nacc,1,"Mild (noticeable, but not a significant change)",
elateuphse_nacc,2,"Moderate (significant, but not a dramatic change)",
elateuphse_nacc,3,Severe (very marked or prominent; a dramatic change),
elateuphse_nacc,8,"Not applicable, no delusions reported",
elateuphse_nacc,9,Unknown,
elateuphse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
elateuphse_hmn,1,"Mild (noticeable, but not a significant change)",
elateuphse_hmn,2,"Moderate (significant, but not a dramatic change)",
elateuphse_hmn,3,Severe (very marked or prominent; a dramatic change),
elateuphse_hmn,8,"Not applicable, no delusions reported",
elateuphse_hmn,9,Unknown,
elateuphse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
emoincontinence_adni,1,Present - 1 point,
emoincontinence_adni,0,Absent,
emoincontinence_nacc,0,Absent,
emoincontinence_nacc,1,Present,
emoincontinence_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
emoincontinence_hmn,0,Absent,
emoincontinence_hmn,1,Present,
emoincontinence_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
empty_adni,1,Yes,
empty_adni,0,No,
empty_nacc,0,No,
empty_nacc,1,Yes,
empty_nacc,9,Did not answer,
empty_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
empty_hmn,0,No,
empty_hmn,1,Yes,
empty_hmn,9,Did not answer,
empty_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
energy_adni,1,Yes,
energy_adni,0,No,
energy_nacc,0,No,
energy_nacc,1,Yes,
energy_nacc,9,Did not answer,
energy_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
energy_hmn,0,No,
energy_hmn,1,Yes,
energy_hmn,9,Did not answer,
energy_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
feelhappy_adni,1,Yes,
feelhappy_adni,0,No,
feelhappy_nacc,0,No,
feelhappy_nacc,1,Yes,
feelhappy_nacc,9,Did not answer,
feelhappy_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
feelhappy_hmn,0,No,
feelhappy_hmn,1,Yes,
feelhappy_hmn,9,Did not answer,
feelhappy_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
focalsigns_adni,2,Present - 2 points,
focalsigns_adni,0,Absent,
focalsigns_nacc,0,Absent,
focalsigns_nacc,2,Present,
focalsigns_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
focalsigns_hmn,0,Absent,
focalsigns_hmn,2,Present,
focalsigns_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
focalsymptoms_adni,2,Present - 2 points,
focalsymptoms_adni,0,Absent,
focalsymptoms_nacc,0,Absent,
focalsymptoms_nacc,2,Present,
focalsymptoms_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
focalsymptoms_hmn,0,Absent,
focalsymptoms_hmn,2,Present,
focalsymptoms_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
formapara_adni,1,Yes,
formapara_adni,2,No,
formapara_nacc,0,No,
formapara_nacc,1,Yes,
formapara_nacc,9,Missing/unknown,
formapara_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
formapara_hmn,0,No,
formapara_hmn,1,Yes,
formapara_hmn,9,Missing/unknown,
formapara_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
frontemporal_adni,1,Yes,
frontemporal_adni,2,No,
frontemporal_adni,3,Not Assessed,
frontemporal_adni,9,Missing/Unknown,
frontemporal_nacc,1,Yes,
frontemporal_nacc,2,No,
frontemporal_nacc,3,Not assessed,
frontemporal_nacc,9,Missing/unknown,
frontemporal_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
frontemporal_hmn,1,Yes,
frontemporal_hmn,2,No,
frontemporal_hmn,3,Not assessed,
frontemporal_hmn,9,Missing/unknown,
frontemporal_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdnodist_adni,1,Yes,
ftdnodist_adni,2,No,
ftdnodist_adni,3,Not Assessed,
ftdnodist_adni,9,Missing/Unknown,
ftdnodist_nacc,1,Yes,
ftdnodist_nacc,2,No,
ftdnodist_nacc,3,Not assessed,
ftdnodist_nacc,9,Missing/unknown,
ftdnodist_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdnodist_hmn,1,Yes,
ftdnodist_hmn,2,No,
ftdnodist_hmn,3,Not assessed,
ftdnodist_hmn,9,Missing/unknown,
ftdnodist_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdnotother_adni,1,Yes,
ftdnotother_adni,2,No,
ftdnotother_adni,3,Not Assessed,
ftdnotother_adni,9,Missing/Unknown,
ftdnotother_nacc,1,Yes,
ftdnotother_nacc,2,No,
ftdnotother_nacc,3,Not assessed,
ftdnotother_nacc,9,Missing/unknown,
ftdnotother_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdnotother_hmn,1,Yes,
ftdnotother_hmn,2,No,
ftdnotother_hmn,3,Not assessed,
ftdnotother_hmn,9,Missing/unknown,
ftdnotother_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdubi_adni,1,FTD with motor neuron disease,
ftdubi_adni,2,FTD without motor neuron disease,
ftdubi_adni,3,None present,
ftdubi_adni,4,Not assessed,
ftdubi_adni,9,Missing/unknown,
ftdubi_nacc,1,FTD with motor neuron disease,
ftdubi_nacc,2,FTD without motor neuron disease,
ftdubi_nacc,3,None present,
ftdubi_nacc,4,Not assessed,
ftdubi_nacc,9,Missing/unknown,
ftdubi_nacc,-4,"Not available, NP Form version submitted did not collect data in this way",
ftdubi_hmn,1,FTD with motor neuron disease,
ftdubi_hmn,2,FTD without motor neuron disease,
ftdubi_hmn,3,None present,
ftdubi_hmn,4,Not assessed,
ftdubi_hmn,9,Missing/unknown,
ftdubi_hmn,-4,"Not available, NP Form version submitted did not collect data in this way",
ftldcbd_adni,1,Yes,
ftldcbd_adni,2,No,
ftldcbd_adni,3,Not Assessed,
ftldcbd_adni,9,Missing/Unknown,
ftldcbd_nacc,0,No,
ftldcbd_nacc,1,Yes,
ftldcbd_nacc,8,Not assessed,
ftldcbd_nacc,9,Missing/unknown,
ftldcbd_hmn,0,No,
ftldcbd_hmn,1,Yes,
ftldcbd_hmn,8,Not assessed,
ftldcbd_hmn,9,Missing/unknown,
ftldpick_adni,1,Yes,
ftldpick_adni,2,No,
ftldpick_adni,3,Not Assessed,
ftldpick_adni,9,Missing/Unknown,
ftldpick_nacc,0,No,
ftldpick_nacc,1,Yes,
ftldpick_nacc,8,Not assessed,
ftldpick_nacc,9,Missing/unknown,
ftldpick_hmn,0,No,
ftldpick_hmn,1,Yes,
ftldpick_hmn,8,Not assessed,
ftldpick_hmn,9,Missing/unknown,
ftldpsp_adni,1,Yes,
ftldpsp_adni,2,No,
ftldpsp_adni,3,Not Assessed,
ftldpsp_adni,9,Missing/Unknown,
ftldpsp_nacc,0,No,
ftldpsp_nacc,1,Yes,
ftldpsp_nacc,8,Not assessed,
ftldpsp_nacc,9,Missing/unknown,
ftldpsp_hmn,0,No,
ftldpsp_hmn,1,Yes,
ftldpsp_hmn,8,Not assessed,
ftldpsp_hmn,9,Missing/unknown,
genchrom_adni,1,APP mutation,
genchrom_adni,2,PS1 mutation,
genchrom_adni,3,PS2 mutation,
genchrom_adni,4,Tau mutation,
genchrom_adni,5,alpha-Synuclein mutation,
genchrom_adni,6,Parkin mutation,
genchrom_adni,7,PRNP mutation,
genchrom_adni,8,Huntingtin mutation,
genchrom_adni,9,Notch 3 mutation (CASDASIL),
genchrom_adni,10,"Otherknown genetic mutation (e.g., Abri, neuroserpin)",
genchrom_adni,11,Down syndrome,
genchrom_adni,12,Other chromosomal abnormality,
genchrom_adni,13,No known genetic or chromosomal abnormality,
genchrom_adni,50,Not assessed,
genchrom_adni,99,Missing/unknown,
genchrom_nacc,1,APP mutation,
genchrom_nacc,2,PS1 mutation,
genchrom_nacc,3,PS2 mutation,
genchrom_nacc,4,Tau mutation,
genchrom_nacc,5,Alpha-Synuclein mutation,
genchrom_nacc,6,Parkin mutation,
genchrom_nacc,7,PRNP mutation,
genchrom_nacc,8,Huntingtin mutation,
genchrom_nacc,9,Notch 3 mutation (CADASIL),
genchrom_nacc,10,"Other known genetic mutation (e.g., ABri, neuroserpin)",
genchrom_nacc,11,Down Syndrome,
genchrom_nacc,12,Other chromosomal abnormality,
genchrom_nacc,13,No known genetic or chromosomal abnormality,
genchrom_nacc,50,Not assessed,
genchrom_nacc,99,Missing/unknown,
genchrom_hmn,1,APP mutation,
genchrom_hmn,2,PS1 mutation,
genchrom_hmn,3,PS2 mutation,
genchrom_hmn,4,Tau mutation,
genchrom_hmn,5,Alpha-Synuclein mutation,
genchrom_hmn,6,Parkin mutation,
genchrom_hmn,7,PRNP mutation,
genchrom_hmn,8,Huntingtin mutation,
genchrom_hmn,9,Notch 3 mutation (CADASIL),
genchrom_hmn,10,"Other known genetic mutation (e.g., ABri, neuroserpin)",
genchrom_hmn,11,Down Syndrome,
genchrom_hmn,12,Other chromosomal abnormality,
genchrom_hmn,13,No known genetic or chromosomal abnormality,
genchrom_hmn,50,Not assessed,
genchrom_hmn,99,Missing/unknown,
goodspirits_adni,1,Yes,
goodspirits_adni,0,No,
goodspirits_nacc,0,No,
goodspirits_nacc,1,Yes,
goodspirits_nacc,9,Did not answer,
goodspirits_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
goodspirits_hmn,0,No,
goodspirits_hmn,1,Yes,
goodspirits_hmn,9,Did not answer,
goodspirits_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
halluse_adni,1,"1 - Mild (noticeable, but not a significant change).",
halluse_adni,2,"2 - Moderate (significant, but not a dramatic change).",
halluse_adni,3,3 - Severe (very marked or prominent. A dramatic change).,
halluse_nacc,1,"Mild (noticeable, but not a significant change)",
halluse_nacc,2,"Moderate (significant, but not a dramatic change)",
halluse_nacc,3,Severe (very marked or prominent; a dramatic change),
halluse_nacc,8,"Not applicable, no delusions reported",
halluse_nacc,9,Unknown,
halluse_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
halluse_hmn,1,"Mild (noticeable, but not a significant change)",
halluse_hmn,2,"Moderate (significant, but not a dramatic change)",
halluse_hmn,3,Severe (very marked or prominent; a dramatic change),
halluse_hmn,8,"Not applicable, no delusions reported",
halluse_hmn,9,Unknown,
halluse_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
heatwater_adni,0,Normal (0),
heatwater_adni,1,"Never did, but could do now (0)",
heatwater_adni,2,"Never did, but could do now (0)",
heatwater_adni,3,"Has difficulty, but does by self (1)",
heatwater_adni,4,Requires assistance (2),
heatwater_adni,5,Dependent (3),
heatwater_nacc,0,Normal,
heatwater_nacc,1,"Has difficulty, but does by self",
heatwater_nacc,2,Requires assistance,
heatwater_nacc,3,Dependent,
heatwater_nacc,8,"Not applicable (e.g., never did)",
heatwater_nacc,9,Unknown,
heatwater_nacc,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
heatwater_hmn,0,Normal,
heatwater_hmn,1,"Has difficulty, but does by self",
heatwater_hmn,2,Requires assistance,
heatwater_hmn,3,Dependent,
heatwater_hmn,4,"Never did, but could do now (0)",
heatwater_hmn,5,"Never did, but could do now (0)",
heatwater_hmn,8,"Not applicable (e.g., never did)",
heatwater_hmn,9,Unknown,
heatwater_hmn,-4,"Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",
helpless_adni,1,Yes,
helpless_adni,0,No,
helpless_nacc,0,No,
helpless_nacc,1,Yes,
helpless_nacc,9,Did not answer,
